voter_age,vote_hour,time_taken_seconds,device_type,failed_login_attempts,is_fraud
65,8,255,2,0,0
40,10,288,0,1,0
79,10,285,1,0,0
54,15,230,0,0,0
61,12,273,1,0,0
52,13,98,0,2,0
82,6,49,1,0,0
64,11,144,1,1,0
20,23,135,0,1,0
18,18,228,1,0,0
22,7,269,0,2,0
31,3,212,3,0,1
44,21,197,3,0,0
26,16,124,1,0,0
32,1,235,1,1,0
59,22,78,0,0,0
94,21,271,0,0,0
68,12,298,0,0,0
80,20,274,1,1,0
69,6,136,1,0,0
21,17,154,1,0,0
40,9,75,1,0,0
32,3,22,0,2,0
60,20,256,1,0,0
46,7,69,1,0,0
53,21,129,2,1,0
30,21,35,0,0,0
49,20,184,1,0,0
88,12,223,2,5,0
76,13,126,0,0,0
45,20,131,0,0,0
83,16,199,0,0,0
59,11,129,1,0,0
62,3,298,1,4,0
79,8,58,2,0,0
74,14,229,1,1,0
23,14,222,0,0,0
45,17,224,0,0,0
45,5,85,0,0,0
61,1,240,0,0,0
47,8,260,0,0,0
79,4,17,0,0,0
92,11,77,0,1,0
79,4,11,0,0,0
18,11,296,1,0,0
44,14,141,1,0,0
79,1,152,1,0,0
94,10,100,0,0,0
20,22,290,0,1,0
87,23,136,1,0,0
89,18,247,1,1,0
44,16,210,1,0,0
26,17,46,1,0,0
79,9,214,1,2,0
54,4,199,0,0,0
68,20,127,1,3,0
61,16,13,0,0,0
41,0,236,0,0,0
76,12,258,0,0,0
49,1,29,0,0,0
69,16,2,1,0,1
79,14,196,2,0,0
75,7,174,0,1,0
69,1,100,1,0,0
29,7,59,0,0,0
56,4,237,0,0,0
19,16,203,0,0,0
20,3,155,0,3,0
73,11,66,0,1,0
76,17,222,3,0,0
19,5,278,1,0,0
19,4,152,1,0,0
71,18,203,0,2,0
18,4,219,0,0,0
36,9,143,2,0,0
19,22,145,0,0,0
70,18,295,0,0,0
61,3,201,0,1,0
49,12,87,1,2,0
87,12,4,0,0,1
49,16,15,0,0,0
85,17,171,0,3,0
72,18,262,0,0,0
92,22,30,0,0,0
73,22,86,0,0,0
34,16,225,0,1,0
55,2,56,0,0,0
41,12,197,3,0,0
86,12,245,0,0,0
87,2,67,1,0,0
28,1,125,0,0,0
33,14,10,1,0,0
90,2,1,0,0,1
76,21,275,0,0,0
87,15,237,0,0,0
20,9,95,1,0,0
37,19,183,1,0,0
76,1,177,0,1,0
53,14,183,1,0,0
36,7,214,2,0,0
84,12,297,1,0,0
36,0,183,1,0,0
37,23,207,1,0,0
88,1,69,1,0,0
69,8,171,2,0,0
50,19,82,1,3,0
57,19,184,1,1,0
56,22,110,1,0,0
18,18,217,0,0,0
28,11,116,0,2,0
74,11,109,2,0,0
67,9,279,0,0,0
40,18,41,3,0,0
48,19,87,1,0,0
59,9,93,0,0,0
24,18,225,0,1,0
33,23,255,1,3,0
77,8,274,0,3,0
19,4,224,0,0,0
18,2,199,0,0,0
65,22,136,0,3,0
29,18,114,0,0,0
86,21,273,0,0,0
54,3,286,1,0,0
49,22,66,1,0,0
26,13,188,0,0,0
36,5,174,1,0,0
65,12,278,1,2,0
20,6,32,0,0,0
37,11,241,1,1,0
41,19,136,0,0,0
71,13,63,1,0,0
50,12,29,0,0,0
41,10,209,1,0,0
92,5,40,1,2,0
89,6,173,1,0,0
53,9,2,1,0,1
55,23,256,1,0,0
42,14,240,0,5,0
35,8,241,3,0,0
83,2,31,1,0,0
71,4,68,0,2,0
52,9,234,1,0,0
78,14,10,2,1,0
58,2,51,1,0,0
50,20,198,2,0,0
85,17,172,0,2,0
50,2,26,0,1,0
31,6,203,2,0,0
38,23,121,1,0,0
65,20,236,2,0,0
37,13,108,0,0,0
25,15,91,1,0,0
24,18,30,1,0,0
84,3,199,1,0,0
34,2,229,1,0,0
50,2,143,1,0,0
65,8,80,0,5,1
93,3,123,3,1,1
76,21,235,1,1,0
39,18,84,1,1,0
47,23,113,0,0,0
55,10,104,0,5,0
68,14,148,0,0,0
71,3,197,1,3,0
25,7,203,0,0,0
44,1,130,1,0,0
44,17,158,0,1,0
38,2,136,0,0,0
47,2,296,0,0,0
45,20,136,0,0,0
81,18,145,1,0,0
86,11,231,2,0,0
78,23,99,2,0,0
65,13,30,0,0,0
36,22,197,3,1,0
21,12,64,1,0,0
52,15,36,0,0,0
81,16,79,2,0,0
66,21,177,0,0,0
34,17,81,0,0,0
61,12,205,2,5,1
47,23,24,2,0,0
63,12,107,0,0,0
23,7,240,1,0,0
54,6,132,0,0,0
41,7,239,1,0,0
63,16,110,1,0,0
70,23,77,0,1,0
77,0,137,1,0,0
80,2,282,2,0,0
49,3,234,1,1,0
50,18,165,1,1,0
84,1,107,0,4,0
35,10,267,1,0,0
42,10,123,1,4,0
71,18,83,0,0,0
75,1,279,1,0,0
84,4,175,1,0,0
63,18,39,1,1,0
41,8,110,2,2,0
49,6,292,0,0,0
64,11,77,0,4,0
40,18,159,2,3,0
83,17,168,1,0,0
44,17,60,0,0,0
19,20,235,0,0,0
34,8,37,1,4,0
50,1,251,0,1,0
26,1,61,1,0,0
60,14,146,1,0,0
65,23,287,1,0,0
56,15,79,1,0,0
59,13,165,0,1,0
43,18,68,0,0,0
67,14,210,1,0,0
42,2,87,0,0,0
41,5,62,0,0,0
30,5,79,1,3,0
77,21,236,0,3,0
24,20,263,0,5,0
74,19,159,0,0,0
53,8,255,0,0,0
62,10,40,0,4,0
37,3,78,0,4,0
82,13,178,0,0,0
25,12,80,1,0,0
33,14,193,1,0,0
31,16,25,0,3,0
93,7,136,0,0,0
32,10,295,0,0,0
83,23,160,0,0,0
49,10,264,0,3,0
80,15,141,1,0,0
68,2,195,0,0,0
42,22,194,0,0,0
75,14,4,0,0,1
80,12,279,0,0,0
79,6,290,0,0,0
39,4,94,1,0,0
75,11,186,1,1,0
75,2,275,2,0,0
66,11,137,1,0,0
69,4,23,0,5,0
59,18,203,0,1,0
87,18,13,0,0,0
32,0,275,0,0,0
71,19,5,0,0,0
77,11,150,0,0,0
25,21,261,2,0,0
70,21,282,0,0,0
77,5,117,0,0,0
22,20,80,0,0,0
85,17,125,0,1,0
23,20,140,1,0,0
64,15,100,1,0,0
72,10,92,0,4,0
57,9,124,1,3,0
69,2,247,2,0,0
33,17,236,0,1,0
30,11,4,0,2,1
47,13,93,0,0,0
36,3,281,0,4,0
34,9,227,2,0,0
80,6,152,0,0,0
36,15,184,0,0,0
75,8,275,2,0,0
72,2,279,0,0,0
79,1,83,0,0,0
40,5,96,1,4,0
26,9,205,1,0,0
29,3,46,1,2,0
18,3,146,0,0,0
75,9,189,1,0,0
18,9,71,1,0,0
51,12,45,2,0,0
65,5,216,0,0,0
18,6,121,0,0,0
33,4,17,0,0,0
78,14,290,1,1,0
81,7,99,0,2,0
80,9,50,0,0,0
86,11,139,1,0,0
39,16,170,2,0,0
84,15,94,0,0,0
93,0,213,0,0,0
43,3,35,0,0,0
33,7,59,1,0,0
68,23,140,1,1,0
74,5,12,1,0,0
46,20,28,2,0,0
86,9,221,2,0,0
64,17,174,3,0,0
79,12,296,0,0,0
86,4,285,2,0,0
93,11,128,1,0,0
33,20,144,0,0,0
65,17,256,1,0,0
56,7,220,0,0,0
50,13,193,0,1,0
40,14,285,0,0,0
27,4,52,1,0,0
86,4,40,0,0,0
51,16,6,1,0,0
69,12,283,2,0,0
27,16,165,1,4,0
36,10,263,3,1,0
75,0,77,0,0,0
18,23,176,2,0,0
86,12,236,3,0,0
21,17,142,1,0,0
33,23,255,0,0,0
41,5,177,0,0,0
19,12,196,0,0,0
49,20,242,1,3,0
41,21,236,0,1,0
29,19,107,1,0,0
67,10,213,1,0,0
52,18,85,0,0,0
50,19,142,1,0,0
50,8,75,1,0,0
78,12,165,1,0,0
68,14,78,0,2,0
60,23,189,1,0,0
29,10,227,0,1,0
84,23,283,0,0,0
82,15,177,3,0,0
50,16,71,1,0,0
57,4,257,0,0,0
91,21,269,1,0,0
60,13,294,2,0,0
61,14,129,0,0,0
46,8,83,0,0,0
30,13,158,2,0,0
29,9,7,0,0,0
63,21,148,1,4,0
19,12,44,1,0,0
52,16,13,3,5,0
25,0,295,0,0,0
43,13,20,3,1,0
91,11,5,0,1,0
51,6,112,0,0,0
24,2,52,0,0,0
85,22,72,0,0,0
75,20,177,3,0,0
92,0,22,3,0,0
46,23,85,0,0,0
53,12,31,1,0,0
38,21,233,0,1,0
53,1,258,0,0,0
27,8,298,1,0,0
90,17,291,2,1,0
41,21,109,1,0,0
81,3,35,0,3,0
66,15,279,1,0,0
53,5,23,2,0,0
41,19,235,1,0,0
40,2,275,0,0,0
79,10,79,0,0,0
54,23,72,1,0,0
29,4,97,2,0,0
72,0,232,2,0,0
30,7,13,1,1,0
40,18,199,0,0,0
47,3,127,0,1,0
34,8,264,1,0,0
79,2,100,1,1,0
30,4,14,2,2,0
76,15,179,1,0,0
36,7,9,3,0,0
66,5,141,0,0,0
29,2,204,2,0,0
78,15,194,3,0,0
36,7,38,2,0,0
93,12,21,0,0,0
26,4,157,2,3,0
88,5,84,1,0,0
45,2,178,0,0,0
69,7,192,0,0,0
33,3,265,0,0,0
86,20,271,0,0,0
29,16,225,0,2,0
42,7,181,1,0,0
69,20,259,1,4,0
70,18,22,2,0,0
40,13,295,1,0,0
33,8,265,1,0,0
74,11,12,1,0,0
56,12,34,0,0,0
70,22,251,1,0,0
59,7,156,0,1,0
75,2,295,0,1,0
56,21,259,1,0,0
31,14,175,0,0,0
22,19,12,3,0,0
52,18,43,0,1,0
92,3,195,0,1,0
35,1,274,1,1,0
93,4,111,0,0,0
26,23,90,1,0,0
91,20,266,0,1,0
75,1,260,0,0,0
34,6,268,2,2,0
24,23,53,0,0,0
63,10,179,2,0,0
30,11,272,0,0,0
57,3,145,0,1,0
59,2,258,1,3,0
26,7,29,0,0,0
67,17,175,1,0,0
44,22,162,1,3,0
83,23,231,3,3,0
22,4,29,0,3,0
46,15,121,2,5,0
54,22,177,1,2,0
55,11,120,0,0,0
25,8,144,1,0,0
82,7,203,1,0,0
34,4,269,3,2,1
88,19,52,0,1,0
62,18,25,1,3,0
21,14,232,1,0,0
53,21,236,1,0,0
87,19,239,1,3,0
48,10,68,0,1,0
36,19,241,1,2,0
78,12,219,0,3,0
71,22,118,0,1,0
56,12,72,2,0,0
91,20,247,2,0,0
36,16,72,1,0,0
56,20,285,0,3,0
84,15,3,1,0,1
62,21,277,0,0,0
30,16,141,1,0,0
75,18,223,0,0,0
37,21,176,0,0,0
89,13,280,0,1,0
78,22,258,2,2,0
56,6,234,0,4,0
18,22,3,0,0,1
20,8,154,0,0,0
94,1,2,1,1,1
79,18,33,0,0,0
80,22,34,1,1,0
42,5,98,1,0,0
73,0,38,1,0,0
50,6,127,1,1,0
55,15,206,1,0,0
23,1,223,0,3,0
75,3,148,1,0,0
61,22,138,0,0,0
62,19,161,1,1,0
49,21,122,3,0,0
62,13,45,0,4,0
78,10,60,1,0,0
64,8,238,1,0,0
38,4,189,2,0,0
92,2,179,2,0,0
53,21,12,1,0,0
36,19,208,0,0,0
37,1,137,3,0,1
74,9,267,1,4,0
35,20,149,3,0,0
64,9,204,3,0,0
66,6,196,0,1,0
31,14,282,0,0,0
32,4,147,1,1,0
48,7,273,0,2,0
18,17,251,0,0,0
71,19,172,1,0,0
20,5,189,1,0,0
33,22,129,0,0,0
74,10,240,2,0,0
92,7,200,0,0,0
29,3,121,1,0,0
91,6,115,0,0,0
33,1,41,1,0,0
89,14,152,0,0,0
93,8,171,1,0,0
41,22,94,2,0,0
45,20,116,1,2,0
25,18,235,1,0,0
53,22,265,1,0,0
25,18,218,1,0,0
75,4,160,1,0,0
77,18,219,1,0,0
67,2,11,1,0,0
45,11,116,1,0,0
58,6,229,0,1,0
81,4,274,3,0,1
44,11,8,1,0,0
80,3,283,0,0,0
34,19,210,0,1,0
90,18,265,0,0,0
50,12,2,0,0,1
94,14,81,2,0,0
46,23,198,1,0,0
30,9,140,0,0,0
63,0,172,1,1,0
52,2,158,1,0,0
23,17,52,0,0,0
86,15,36,0,1,0
64,11,70,0,0,0
42,15,288,0,0,0
83,10,226,0,1,0
27,10,71,1,0,0
73,22,145,1,0,0
47,21,160,0,0,0
22,13,14,1,0,0
50,16,141,3,0,0
82,18,128,3,0,0
35,10,217,3,0,0
66,3,268,0,0,0
28,9,173,0,0,0
43,22,144,1,0,0
80,18,149,1,0,0
76,3,24,3,1,1
44,10,43,0,1,0
66,6,123,3,0,0
94,19,111,0,0,0
50,8,289,0,0,0
18,21,159,1,0,0
38,1,9,1,3,0
72,0,241,0,0,0
23,7,35,0,0,0
86,18,8,0,0,0
22,22,145,3,0,0
20,15,80,1,1,0
70,13,20,2,1,0
40,3,248,0,0,0
70,18,22,0,0,0
54,21,71,0,0,0
91,21,209,1,0,0
91,5,77,2,0,0
34,14,81,0,1,0
90,12,248,0,0,0
18,18,208,0,0,0
68,21,159,0,0,0
62,3,141,1,0,0
94,1,113,1,0,0
21,2,253,0,0,0
79,13,29,2,0,0
82,3,138,0,0,0
49,15,123,0,0,0
51,10,77,2,0,0
89,12,35,0,3,0
56,0,158,1,4,0
43,12,174,1,4,0
51,14,235,0,0,0
71,6,298,0,0,0
20,4,199,1,3,0
67,5,177,1,0,0
29,23,208,1,0,0
82,8,69,0,1,0
71,5,134,0,0,0
22,22,3,1,1,1
74,5,10,0,4,0
34,21,24,1,0,0
64,1,112,2,0,0
40,20,278,0,3,0
31,5,222,0,0,0
83,9,260,0,0,0
92,4,179,0,0,0
68,19,4,1,0,1
55,11,295,0,0,0
81,5,31,1,0,0
55,5,201,1,0,0
67,7,30,0,0,0
47,23,245,0,0,0
68,16,167,0,5,0
80,17,99,2,0,0
69,10,25,2,0,0
55,0,249,1,0,0
47,6,58,0,0,0
68,7,229,0,0,0
22,2,164,1,0,0
46,18,106,0,1,0
21,15,277,0,0,0
27,22,202,0,0,0
73,7,295,2,0,0
34,5,99,0,0,0
91,23,233,1,0,0
34,1,31,3,0,1
86,22,65,1,0,0
51,11,173,0,0,0
23,20,167,0,1,0
70,5,236,0,0,0
83,13,87,1,1,0
94,6,242,1,0,0
60,8,217,0,0,0
92,6,141,0,0,0
40,14,98,1,0,0
72,11,157,1,0,0
92,16,72,0,0,0
33,14,268,0,1,0
25,14,225,0,0,0
21,20,297,1,0,0
21,13,121,0,0,0
73,10,251,0,0,0
42,10,160,0,0,0
84,19,148,0,0,0
84,12,57,1,0,0
44,12,62,0,1,0
49,7,86,1,1,0
67,6,176,2,0,0
78,19,211,0,0,0
68,12,135,1,0,0
36,10,67,0,0,0
38,18,252,1,0,0
22,5,290,0,0,0
59,7,105,1,0,0
78,18,69,0,0,0
39,4,88,0,0,0
38,9,219,0,1,0
87,0,162,1,2,0
18,11,115,0,0,0
22,23,299,3,0,0
29,6,21,0,1,0
63,7,12,0,1,0
51,17,32,1,1,0
66,6,175,0,0,0
62,13,87,0,0,0
44,19,273,0,0,0
90,17,282,1,0,0
43,20,161,1,2,0
64,22,192,2,0,0
73,3,138,0,0,0
80,9,110,0,0,0
65,10,51,1,0,0
78,10,290,0,0,0
43,19,169,0,1,0
53,18,294,1,0,0
18,0,48,1,0,0
25,1,28,2,0,0
69,8,236,1,0,0
64,16,76,0,0,0
73,4,60,0,3,0
31,1,225,0,0,0
45,3,269,0,2,0
19,6,52,1,0,0
43,20,101,1,0,0
31,16,299,0,0,0
76,2,220,1,1,0
73,8,250,2,1,0
24,0,212,0,0,0
20,19,42,0,1,0
40,20,110,0,0,0
35,15,117,0,3,0
55,2,69,1,0,0
32,18,98,2,1,0
81,15,250,0,0,0
45,0,186,0,0,0
91,21,231,0,3,0
56,11,273,1,0,0
74,19,222,1,4,0
34,23,240,0,0,0
61,5,286,1,0,0
42,2,61,1,1,0
34,6,193,0,0,0
30,2,194,0,0,0
42,12,40,1,0,0
85,15,297,1,0,0
27,13,202,2,0,0
84,8,88,0,0,0
35,7,170,2,0,0
51,14,190,0,0,0
25,18,119,1,4,0
57,12,80,0,1,0
59,13,105,1,1,0
58,10,38,1,0,0
23,17,236,0,1,0
69,2,177,0,0,0
43,3,234,0,1,0
81,2,235,0,3,0
76,12,233,1,0,0
73,15,222,1,1,0
76,12,261,0,0,0
87,9,139,1,0,0
50,17,4,1,0,1
70,7,61,0,4,0
39,6,124,0,1,0
38,16,203,2,0,0
87,21,12,1,0,0
87,5,111,0,0,0
21,14,284,0,0,0
92,8,247,0,0,0
79,9,218,0,0,0
79,7,290,3,0,0
41,6,193,1,0,0
72,22,262,0,0,0
26,4,152,1,2,0
20,17,34,1,1,0
48,15,72,2,1,0
57,14,16,0,0,0
53,9,80,2,0,0
41,20,272,2,1,0
23,0,84,0,1,0
83,5,142,1,0,0
92,14,122,0,0,0
21,1,190,0,0,0
23,11,218,0,1,0
68,0,189,2,0,0
79,14,282,0,1,0
74,12,217,0,0,0
83,0,275,0,0,0
92,0,243,0,0,0
25,3,209,0,1,0
43,20,30,0,0,0
68,13,57,0,2,0
62,20,85,0,0,0
61,16,292,0,0,0
22,12,168,1,0,0
87,11,284,1,0,0
43,5,97,0,1,0
85,18,174,0,0,0
36,19,210,1,0,0
37,15,216,1,0,0
29,20,32,1,0,0
64,15,87,2,0,0
18,11,226,0,1,0
31,19,154,0,0,0
81,19,197,1,0,0
55,12,87,0,4,0
54,0,178,0,0,0
28,17,79,0,0,0
94,1,32,1,0,0
20,1,186,1,0,0
50,0,64,0,0,0
23,9,233,1,0,0
67,23,156,0,1,0
27,0,208,1,0,0
22,13,295,1,0,0
40,7,208,0,0,0
27,0,141,0,0,0
61,13,58,1,2,0
19,9,203,0,4,0
30,18,208,2,1,0
57,7,147,1,2,0
19,1,251,1,0,0
82,3,39,1,0,0
80,23,145,0,0,0
90,11,298,0,0,0
34,8,50,1,0,0
26,22,67,3,0,0
92,0,1,1,0,1
32,7,133,0,0,0
41,16,87,2,3,0
55,15,146,1,0,0
52,14,68,1,0,0
66,8,97,1,0,0
86,7,278,1,0,0
79,19,286,3,1,0
77,13,90,0,2,0
67,11,257,1,0,0
92,14,70,2,0,0
26,3,81,2,0,0
51,3,223,1,0,0
93,21,74,1,0,0
52,1,189,2,0,0
18,3,176,0,1,0
57,19,290,0,0,0
81,23,214,0,1,0
39,17,135,0,1,0
77,14,39,1,1,0
81,7,293,0,0,0
89,9,63,2,0,0
28,1,271,0,0,0
31,8,211,1,4,0
77,15,74,1,0,0
47,21,101,0,5,0
52,11,190,0,0,0
54,4,114,1,1,0
22,6,110,2,0,0
43,14,61,1,2,0
79,12,281,2,0,0
21,7,156,1,0,0
59,23,241,0,0,0
35,18,210,1,3,0
57,18,240,1,0,0
89,4,291,1,0,0
56,20,234,0,0,0
31,17,246,1,0,0
49,20,167,1,0,0
68,16,65,3,0,0
55,6,129,0,3,0
40,13,120,1,0,0
80,14,233,1,0,0
32,22,19,1,0,0
42,16,176,0,0,0
34,2,201,1,0,0
83,23,270,3,0,0
70,12,67,1,0,0
68,10,158,1,2,0
56,2,233,0,2,0
68,5,116,1,0,0
87,5,193,0,2,0
23,21,215,1,0,0
84,20,6,0,1,0
24,5,84,0,3,0
68,5,46,0,0,0
89,5,42,0,0,0
59,23,200,0,0,0
81,13,189,0,0,0
32,10,31,1,1,0
46,15,289,1,0,0
50,21,288,0,0,0
44,18,54,0,1,0
53,6,129,0,0,0
46,5,133,2,0,0
55,10,8,0,0,0
74,3,70,0,1,0
44,0,10,1,0,0
72,21,238,0,5,0
50,8,190,1,0,0
85,12,296,0,0,0
83,7,102,0,5,0
27,1,233,0,0,0
22,15,284,1,0,0
91,18,56,0,0,0
55,7,1,1,5,1
30,11,238,0,0,0
48,10,210,1,3,0
64,8,62,0,0,0
69,23,231,0,0,0
73,9,108,1,0,0
32,0,170,0,1,0
46,18,175,0,0,0
25,23,118,0,1,0
22,16,293,1,0,0
46,22,139,1,0,0
64,3,195,2,0,0
85,11,29,1,0,0
93,22,260,0,3,0
62,19,139,0,0,0
19,7,30,0,0,0
44,21,79,0,0,0
53,15,79,0,0,0
53,23,186,0,0,0
43,0,160,1,0,0
60,8,157,1,0,0
44,10,113,1,0,0
86,11,299,2,0,0
37,8,85,2,0,0
28,5,230,0,0,0
91,8,39,1,0,0
55,5,155,0,1,0
23,5,280,1,0,0
89,19,293,1,0,0
40,2,288,0,2,0
64,2,53,0,0,0
63,15,129,0,0,0
29,1,109,0,3,0
30,3,184,0,0,0
79,8,210,0,0,0
77,6,157,1,0,0
60,2,6,1,1,0
93,23,185,0,0,0
85,12,95,0,0,0
22,13,14,1,0,0
54,8,69,1,0,0
89,0,190,1,1,0
48,11,86,0,2,0
26,0,51,0,0,0
68,8,13,1,2,0
46,6,254,0,4,0
57,2,105,0,1,0
58,3,132,0,0,0
28,6,38,3,0,0
40,14,132,0,0,0
18,23,158,0,0,0
63,23,65,1,0,0
38,0,189,2,1,0
53,5,279,1,0,0
71,21,227,1,0,0
74,4,209,2,1,0
18,10,56,1,1,0
80,16,100,0,0,0
71,2,87,2,0,0
72,11,290,1,0,0
57,19,230,0,0,0
32,9,169,0,0,0
38,6,295,1,0,0
64,14,214,1,2,0
90,20,298,3,3,0
70,17,148,0,0,0
26,18,270,1,0,0
91,0,166,0,0,0
69,21,293,1,0,0
74,12,293,0,0,0
43,23,12,1,2,0
58,3,146,1,0,0
52,17,112,2,0,0
80,11,63,1,0,0
42,3,211,1,0,0
92,3,30,2,0,0
55,4,55,0,0,0
19,18,198,0,0,0
24,8,197,0,0,0
51,6,35,0,0,0
34,6,199,0,0,0
60,11,98,0,0,0
76,9,298,0,0,0
68,19,19,0,0,0
71,20,173,0,0,0
41,12,192,0,0,0
42,22,267,1,1,0
88,5,127,3,1,0
69,8,109,0,0,0
87,18,131,1,0,0
50,23,280,0,0,0
66,15,251,1,0,0
46,10,282,0,0,0
80,3,152,0,0,0
39,0,172,1,0,0
43,20,154,3,4,1
45,11,185,0,0,0
66,3,236,0,0,0
88,4,292,1,0,0
66,5,17,2,0,0
37,13,208,1,0,0
80,0,274,2,0,0
78,7,96,0,1,0
66,14,113,0,0,0
88,11,138,1,0,0
18,18,295,0,0,0
30,22,175,0,0,0
68,6,138,0,1,0
73,8,220,0,1,0
79,10,152,2,3,0
49,22,126,1,0,0
47,7,246,0,0,0
46,3,40,1,0,0
66,9,191,1,0,0
62,19,162,0,3,0
47,9,124,3,2,0
33,7,177,0,2,0
57,13,265,1,0,0
36,3,175,0,0,0
35,19,221,0,0,0
18,2,173,1,4,0
64,2,233,2,0,0
83,3,137,3,3,1
55,11,233,1,3,0
68,17,239,1,0,0
80,18,139,0,1,0
21,10,85,2,0,0
18,17,24,2,1,0
25,13,257,0,1,0
46,10,227,1,0,0
72,13,239,0,0,0
20,21,277,1,1,0
49,2,260,0,0,0
27,1,225,1,0,0
91,8,100,1,0,0
51,7,58,0,0,0
72,4,221,0,0,0
49,8,245,0,3,0
67,4,77,1,0,0
24,20,218,0,0,0
25,12,204,2,1,0
82,10,136,1,0,0
74,10,117,0,1,0
84,19,60,0,0,0
76,11,254,0,0,0
89,18,9,0,0,0
71,12,73,0,0,0
84,8,17,1,0,0
68,3,7,0,1,0
25,6,103,0,0,0
51,4,281,1,4,0
52,6,278,1,2,0
49,7,290,0,1,0
63,13,272,0,0,0
33,23,272,0,0,0
85,9,294,2,0,0
54,5,160,0,0,0
71,4,88,1,0,0
31,14,185,1,0,0
72,15,38,1,0,0
65,1,23,0,0,0
24,14,89,2,0,0
91,7,36,0,0,0
24,20,98,0,0,0
50,23,105,1,1,0
40,21,117,2,4,0
36,23,292,1,0,0
36,12,212,0,0,0
53,16,79,3,0,0
46,14,60,0,4,0
77,13,142,0,0,0
19,18,60,0,4,0
18,12,22,0,1,0
64,20,65,0,0,0
86,6,193,1,0,0
37,7,102,0,0,0
28,6,216,0,1,0
19,18,231,1,0,0
84,14,125,1,0,0
29,6,4,2,0,1
37,16,217,0,3,0
22,20,207,0,0,0
54,17,104,0,0,0
55,18,263,0,1,0
26,2,155,0,2,0
70,23,219,1,0,0
61,21,189,0,0,0
41,6,222,2,0,0
91,20,167,1,1,0
47,9,254,0,0,0
76,6,261,0,0,0
31,10,90,0,0,0
26,2,251,0,0,0
57,20,258,1,0,0
83,21,253,0,0,0
42,8,89,0,0,0
90,3,160,1,0,0
39,7,278,1,0,0
21,23,180,2,3,0
43,21,202,0,0,0
75,11,204,0,0,0
46,7,21,0,0,0
54,14,190,0,0,0
92,13,15,1,0,0
87,4,11,0,0,0
35,16,46,0,0,0
59,19,71,1,1,0
58,10,250,0,0,0
55,21,40,0,0,0
51,14,238,0,0,0
34,12,46,2,0,0
54,3,72,2,1,0
42,21,292,0,0,0
93,12,140,1,0,0
44,12,77,3,0,0
74,10,275,0,0,0
48,4,150,1,2,0
23,13,12,0,0,0
57,21,288,1,0,0
29,2,38,0,0,0
70,17,38,1,0,0
88,2,209,1,0,0
27,5,12,1,0,0
62,7,46,2,0,0
34,23,69,0,0,0
43,20,71,0,0,0
79,16,249,0,0,0
63,0,219,0,0,0
81,6,282,0,0,0
19,17,77,0,1,0
71,3,227,3,0,1
82,9,46,1,0,0
68,4,106,0,0,0
70,7,64,0,0,0
53,12,119,2,5,0
43,16,125,0,0,0
46,20,250,0,0,0
38,3,53,1,2,0
28,9,142,0,0,0
